"studentId";"surname";"middlename";"firstname";"suffix";"gender";"civilStatus";"citizenship";"registrationStatus";"degree";"collegeId";"yearLevel";"block";"address";"contactNumber";"password"
202013283;"Santos";"Cruz";"Juan Miguel";"N/A";"Male";"Single";"Filipino";1;"Bachelor of Science in Computer Science";1;2;1;"123 Manila Street Binondo Manila";"9123871237623";"admin"
202013284;"Roney";"Bradbrook";"Nedi";"Jr";"Genderfluid";"Single";"Filipino";1;"Bachelor of Arts in Communication";2;2;1;"7990 Di Loreto Parkway";"4483150876";"NMsX24b0K"
202013285;"Thomerson";"Cattach";"Alvira";"IV";"Bigender";"Single";"Filipino";0;"Bachelor of Science in Accountancy";5;4;2;"71 American Center";"4734653111";"P2LZfXpi3"
202013286;"Leere";"McGlashan";"Kerwinn";"Sr";"Agender";"Single";"Filipino";1;"Bachelor of Science in Business Administration";5;1;1;"0223 Hoard Circle";"9959586891";"SveHR5k"
202013287;"Daniau";"Gudgeon";"Monah";"IV";"Non-binary";"Single";"Filipino";0;"Bachelor of Science in Nursing";4;2;1;"81161 Brickson Park Hill";"7632381815";"12345123"
202013288;"Shawcroft";"Tapin";"Kerri";"IV";"Non-binary";"Single";"Filipino";0;"Bachelor of Elementary Education";3;3;1;"414 Arapahoe Park";"4055465526";"KSainpY"
202013289;"Mathwen";"Gladtbach";"Dewey";"III";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Mechanical Engineering";1;3;1;"0 Westerfield Court";"5794323288";"o5aZjV"
202013290;"Rowler";"Sharvill";"Emelina";"III";"Male";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;2;1;"383 Reinke Court";"8986064437";"E44b3aH4g0"
202013291;"Kadar";"La Wille";"Mathilda";"Jr";"Non-binary";"Single";"Filipino";1;"Bachelor of Science in Architecture";6;4;1;"664 Sage Plaza";"2447863927";"oeA8nqT2AvB"
202013292;"Hadwen";"Cocksedge";"Nevin";"IV";"Genderfluid";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;2;1;"1 Bunting Trail";"1108103173";"OTl8rNwonzY"
202013293;"Casellas";"Portal";"Scot";"Sr";"Male";"Single";"Filipino";0;"Bachelor of Secondary Education major in English";3;1;1;"9208 Morning Place";"9871327935";"Dt3MUQKCs"
202013294;"Walewski";"Feighry";"Karim";"II";"Polygender";"Single";"Filipino";0;"Bachelor of Elementary Education";3;2;1;"6 Linden Drive";"5337855374";"5rVWnveycs2"
202013295;"Syfax";"Leif";"Guenevere";"Jr";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;3;1;"85304 Magdeline Plaza";"8649458621";"C2hEOI"
202013296;"Konneke";"Espinoza";"Annie";"Sr";"Polygender";"Single";"Filipino";1;"Bachelor of Science in Architecture";6;1;1;"338 Bluejay Avenue";"2714082181";"nVZpGX4vjf"
202013297;"Thys";"Trever";"Jodie";"III";"Genderqueer";"Single";"Filipino";0;"Bachelor of Secondary Education major in Sciences";3;2;1;"60 Portage Street";"4509338456";"c0NQ8YUhDZ"
202013298;"Klosa";"Umpleby";"Peirce";"II";"Genderqueer";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;2;1;"1 Arrowood Point";"1179526329";"RNcmwX9rvFve"
202013299;"Stacey";"Bosher";"Benedetta";"Sr";"Male";"Single";"Filipino";0;"Bachelor of Secondary Education major in Sciences";3;2;1;"62998 Crescent Oaks Street";"6446759654";"RJhziU"
202013300;"Simoneschi";"Keast";"Kippar";"IV";"Non-binary";"Single";"Filipino";1;"Bachelor of Physical Education";3;1;1;"6968 Hermina Court";"2295982951";"HOhXnaiPBG"
202013301;"Lawler";"Bohlsen";"Flo";"II";"Genderfluid";"Single";"Filipino";0;"Bachelor of Science in Nursing";4;3;1;"94 Esker Drive";"1417028649";"VodXSXwt1J"
202013302;"O'Duggan";"Alishoner";"Philippe";"Sr";"Genderqueer";"Single";"Filipino";1;"Bachelor of Science in Business Administration";5;3;1;"78 Tony Trail";"3491087463";"tGKcJocyF"
202013303;"Caldecot";"Krolle";"Felix";"Sr";"Agender";"Single";"Filipino";1;"Bachelor of Secondary Education major in Social Studies";3;4;1;"39 Rusk Pass";"7867258884";"JhS24PHR"
202013304;"Jindrak";"Crosswaite";"Carree";"III";"Genderfluid";"Single";"Filipino";0;"Bachelor of Science in Nursing";4;4;1;"0 Kedzie Trail";"7129965145";"i8Ta8fwY9FqU"
202013305;"Larcombe";"Yakubowicz";"Francyne";"II";"Agender";"Single";"Filipino";0;"Bachelor of Arts in Communication Major in Public Relations";2;2;1;"251 Luster Trail";"3718874731";"YeHT0wU"
202013306;"Trowill";"Lawford";"Tomasina";"Jr";"Agender";"Single";"Filipino";0;"Bachelor of Arts in Communication";2;1;1;"5 Nancy Court";"9374375412";"J6fJfTTr4cZT"
202013307;"Boothroyd";"Degue";"Cecelia";"II";"Female";"Single";"Filipino";1;"Bachelor of Science in Accountancy";5;3;2;"4 Lien Hill";"3996071942";"OFgEhx5aWj"
202013308;"Sly";"Penas";"Rafaelia";"IV";"Non-binary";"Single";"Filipino";0;"Bachelor of Science in Nursing";4;1;1;"70640 Gina Alley";"1387011269";"swb9QrqyQcj"
202013309;"Thompsett";"Hutcheson";"Skell";"II";"Genderqueer";"Single";"Filipino";0;"Bachelor of Science in Nursing";4;4;1;"9081 Veith Park";"7337040856";"vgRkCO4f"
202013310;"Cushworth";"Mellings";"Joachim";"IV";"Non-binary";"Single";"Filipino";0;"Bachelor of Secondary Education major in Social Studies";3;4;1;"4 Reinke Circle";"1773611585";"J9R7utIjzr"
202013311;"Galsworthy";"Szymanski";"Hailey";"III";"Genderqueer";"Single";"Filipino";0;"Bachelor of Arts in Communication";2;2;1;"775 Grasskamp Drive";"5038192584";"aD50zMEzWzd"
202013312;"Faltin";"Gamlen";"Valenka";"Sr";"Female";"Single";"Filipino";1;"Bachelor of Science in Information Technology";1;2;1;"1 Mcguire Drive";"4739447677";"YEfbFty"
202013313;"Clarycott";"Dobrovolny";"Enoch";"II";"Non-binary";"Single";"Filipino";0;"Bachelor of Science in Electronics Engineering";1;1;1;"192 Grover Terrace";"4629958685";"rikfjIdQmAj"
202013314;"Burdett";"Shorland";"Flynn";"IV";"Agender";"Single";"Filipino";1;"Bachelor of Science in Architecture";6;2;1;"78107 Bluestem Avenue";"8071502224";"PBpO5mzywx"
202013315;"Brighouse";"Strewther";"Johnathon";"III";"Non-binary";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;3;1;"472 Mesta Junction";"4887547027";"gIvVD62W"
202013316;"Gyurko";"Sore";"Marice";"IV";"Female";"Single";"Filipino";1;"Bachelor of Science in Entrepreneurship";5;2;1;"710 Schmedeman Court";"2924876064";"AhieuuC"
202013317;"Porson";"Darbon";"Dan";"II";"Male";"Single";"Filipino";0;"Bachelor of Science in Social Work";2;1;1;"76314 Springs Court";"2481107692";"g2za01pSFSH"
202013318;"Wedlock";"Butner";"Pris";"IV";"Bigender";"Single";"Filipino";1;"Bachelor of Science in Mechanical Engineering";1;1;1;"6654 Roxbury Road";"6572885231";"B0vgKU"
202013319;"Shackleford";"Parry";"Adlai";"III";"Genderqueer";"Single";"Filipino";1;"Bachelor of Science in Business Administration Major in Business Economics";5;2;1;"8425 Redwing Point";"9161199500";"zyTqxz81"
